sales_date,GTIN,product_name,weekday_name,month_name,dominant_weather_type,dominant_temp_category,daily_sales_count,daily_sales_value
2019-01-04,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,FRI,JAN,windy,cool,57,84.93
2019-01-04,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,FRI,JAN,windy,cool,80,119.2
2019-01-04,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,FRI,JAN,windy,cool,96,239.04
2019-01-04,GTIN-8000920461235,Calippo Cola 105ml,FRI,JAN,windy,cool,72,143.28
2019-01-04,GTIN-8711327313712,Magnum Vegan Classic 90ml,FRI,JAN,windy,cool,70,209.3
2019-01-04,GTIN-8711327319714,Cornetto Classico 120ml,FRI,JAN,windy,cool,68,271.32
2019-01-04,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,FRI,JAN,windy,cool,63,188.37
2019-01-04,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,FRI,JAN,windy,cool,60,239.4
2019-01-04,GTIN-8711918648606,Walls Feast Classic 90ml,FRI,JAN,windy,cool,82,163.18
2019-01-04,GTIN-8720000066784,Solero Exotic 90ml,FRI,JAN,windy,cool,86,171.14
2019-01-18,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,FRI,JAN,windy,cool,68,101.32
2019-01-18,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,FRI,JAN,windy,cool,82,122.18
2019-01-18,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,FRI,JAN,windy,cool,73,181.77
2019-01-18,GTIN-8000920461235,Calippo Cola 105ml,FRI,JAN,windy,cool,72,143.28
2019-01-18,GTIN-8711327313712,Magnum Vegan Classic 90ml,FRI,JAN,windy,cool,82,245.18
2019-01-18,GTIN-8711327319714,Cornetto Classico 120ml,FRI,JAN,windy,cool,48,191.52
2019-01-18,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,FRI,JAN,windy,cool,67,200.33
2019-01-18,GTIN-8711327489608,Cornetto Soft Chocolate 140ml,FRI,JAN,windy,cool,72,287.28
2019-01-18,GTIN-8711918648606,Walls Feast Classic 90ml,FRI,JAN,windy,cool,63,125.37
2019-01-18,GTIN-8720000066784,Solero Exotic 90ml,FRI,JAN,windy,cool,76,151.24
2019-01-24,GTIN-4060800171900,Pepsi Regular Cola 330ml bottle,THU,JAN,rainy,cool,70,104.3
2019-01-24,GTIN-5017726133887,Coca-Cola Soft Drink Can 330 ml,THU,JAN,rainy,cool,76,113.24
2019-01-24,GTIN-5017726170196,Fanta Zero Orange Soft Drink Bottle 500 ml,THU,JAN,rainy,cool,77,191.73
2019-01-24,GTIN-8000920461235,Calippo Cola 105ml,THU,JAN,rainy,cool,87,173.13
2019-01-24,GTIN-8711327313712,Magnum Vegan Classic 90ml,THU,JAN,rainy,cool,75,224.25
2019-01-24,GTIN-8711327319714,Cornetto Classico 120ml,THU,JAN,rainy,cool,77,307.23
2019-01-24,GTIN-8711327480537,Magnum Double Gold Caramel Billionaire 85ml,THU,JAN,rainy,cool,83,248.17
